Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7001","January","%","3.206562","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7002","February","%","1.708066","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7003","March","%","1.708066","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7004","April","%","2.13004","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7005","May","%","2.102051","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7006","June","%","2.288697","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7007","July","%","2.754847","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7008","August","%","3.808027","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7009","September","%","3.937148","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7010","October","%","3.006378","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7011","November","%","2.708456","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2012","2012","23014","Food price inflation","7012","December","%","2.755664","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7001","January","%","2.836879","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7002","February","%","2.944162","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7003","March","%","2.741117","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7004","April","%","2.016129","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7005","May","%","2.21998","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7006","June","%","2.110553","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7007","July","%","1.898102","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7008","August","%","1.284585","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7009","September","%","2.169625","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7010","October","%","2.862784","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7011","November","%","3.257651","E","Estimated value",""
"CP","Consumer Price Indices","608","Philippines","2013","2013","23014","Food price inflation","7012","December","%","4.150198","E","Estimated value",""
