Year,Months,Value
2012,January,3.206562
2012,February,1.708066
2012,March,1.708066
2012,April,2.13004
2012,May,2.102051
2012,June,2.288697
2012,July,2.754847
2012,August,3.808027
2012,September,3.937148
2012,October,3.006378
2012,November,2.708456
2012,December,2.755664
2013,January,2.836879
2013,February,2.944162
2013,March,2.741117
2013,April,2.016129
2013,May,2.21998
2013,June,2.110553
2013,July,1.898102
2013,August,1.284585
2013,September,2.169625
2013,October,2.862784
2013,November,3.257651
2013,December,4.150198
2014,January,4.53202
2014,February,4.832347
2014,March,5.039526
2014,April,5.335968
2014,May,5.824284
2014,June,6.397638
2014,July,7.156863
2014,August,7.512195
2014,September,6.563707
2014,October,5.950096
2014,November,5.449331
2014,December,4.648956
2015,January,4.524034
2015,February,3.951082
2015,March,3.480715
2015,April,3.283302
2015,May,2.518657
2015,June,1.572618
2015,July,0.914913
2015,August,0.362976
2015,September,0.09058
2015,October,0.181159
2015,November,0.99728
2015,December,1.087942
2016,January,0.901713
2016,February,0.904977
2016,March,1
2016,April,0.817439
2016,May,1.364877
2016,June,1.912568
2016,July,1.722575
2016,August,1.537071
2016,September,1.900452
2016,October,2.260398
2016,November,2.333932
2016,December,2.331839
2017,January,2.5916
2017,February,3.049327
2017,March,2.880288
2017,April,3.333333
2017,May,3.052065
2017,June,3.038427
2017,July,2.762923
2017,August,2.938557
2017,September,3.285968
2017,October,3.183024
2017,November,2.982456
2017,December,3.505697
2018,January,4.355401
2018,February,4.786771
2018,March,5.861767
2018,April,5.928509
2018,May,5.749129
2018,June,6.071119
2018,July,7.025152
2018,August,8.477509
2018,September,9.716251
2018,October,9.425878
2018,November,8.006814
2018,December,6.689246
2019,January,5.592654
2019,February,4.734219
2019,March,3.38843
2019,April,3.045267
2019,May,3.377265
2019,June,2.698283
2019,July,1.944895
2019,August,0.558214
2019,September,-0.940439
2019,October,-0.861394
2019,November,0
2019,December,1.746032
2020,January,2.213439
2020,February,2.061856
2020,March,2.63789
2020,April,3.354633
2020,May,2.948207
2020,June,2.707006
2020,July,2.384738
2020,August,1.823949
2020,September,1.503165
2020,October,2.132701
2020,November,4.258675
2020,December,4.75819
2021,January,6.109822
2021,February,6.682207
2021,March,5.841121
2021,April,4.791345
2021,May,4.566563
2021,June,4.651163
2021,July,4.891304
2021,August,6.464174
2021,September,6.235386
2021,October,5.259087
2021,November,3.933434
2021,December,3.127327
2022,January,1.329195
2022,February,0.44535
2022,March,1.571039
2022,April,2.524819
2022,May,3.544553
2022,June,4.628173
