year,Austria,Barbados,Bermuda,Bhutan,Curacao,Cyprus,Denmark,Eritrea,Fiji,Finland,Hong-Kong,Ireland,Israel,Jordan,Philippines,Romania,Suriname,Tunisia,Uganda,United-Kingdom
1990,0.13,0.001,0,0,0,0,0.126,0,0.401,0.053,0,0,0.018,0,0,0,0.584,0,0,0.087
1991,0.259,0.02,0,0,0,0,0.25,0,1.397,0.14,0.003,0.505,0.035,0,0.005,0,1.161,0,0,0.174
1992,0.643,0.1,0,0,0.05,0,0.435,0.065,1.887,0.279,0.048,1.539,0.07,0,0.052,0,1.498,0,0,0.261
1993,0.765,0.199,0.002,0,0.056,0.581,0.464,0.301,2.568,0.591,0.193,2.668,0.122,0,0.13,0.004,1.716,0.008,0.001,0.520
1994,1.393,0.696,0.02,0,0.111,1.259,0.923,1.16,4.915,0.9,0.484,6.795,0.192,0.001,0.389,0.026,3.413,0.05,0.014,1.037
1995,1.89,0.992,0.12,0,0.41,1.454,1.838,2.779,13.9,1.638,0.677,11.216,0.524,0.011,0.648,0.075,5.098,0.082,0.043,1.895
1996,6.909,2.968,0.725,0.015,0.673,1.94,3.055,3.525,16.78,2.584,0.969,14.806,1.023,0.032,1.295,0.222,9.044,0.193,0.099,4.124
1997,9.534,4.938,1.22,0.059,4.378,2.916,6.711,5.706,19.459,4.255,1.942,27.479,2.277,0.065,2.073,0.445,23.728,0.474,0.199,7.385
1998,15.421,7.887,1.845,0.144,8.891,3.896,9.878,10.796,25.453,6.32,3.895,36.264,4.559,0.131,4.102,2.238,33.468,0.699,0.301,13.670
1999,23.044,13.772,2.908,0.194,11.342,6.833,20.846,14.501,32.295,9.125,5.858,41.295,14.378,0.464,5.456,2.698,41.433,2.292,0.405,21.294
2000,33.73,29.432,5.371,1.083,15.255,9.781,30.216,28.577,37.248,14.308,7,44.471,23.111,0.669,7.285,3.614,45.688,3.762,0.716,26.822
2001,39.185,31.288,7.612,1.201,18.819,14.697,31.651,31.527,43.105,26.326,14.529,49.393,27.222,1.006,9.901,4.539,51.766,5.189,1.239,33.481
2002,36.56,46.33,9.08,2.648,28.32,23.93,48.82,41.52,62.43,30.18,16.67,79.12,28.04,1.675,21.15,6.58,70.57,11.38,1.874,56.480
2003,42.7,49.97,12.04,3.965,30.09,34.3,55.9,45.32,69.22,36.14,21.63,83.14,29.04,2,24.87,8.9,79.13,12.33,3.148,64.820
2004,54.28,53.86,18.13,15.469,33.83,35.5,64.73,53.2,72.39,39.15,27.74,83.88,33.24,2.65,32.53,15,83.89,14.58,3.489,65.610
2005,58,55.82,19.97,21.327,32.81,35.27,68.71,61.45,74.48,42.87,38.97,87,35,2.962,38.81,21.5,84.83,15.46,3.75,70.000
2006,63.6,59.72,27.09,25.122,35.83,47.93,72.16,63.51,79.66,46.87,47.06,89.51,37.99,3.268,44.58,24.66,87.76,18.24,4.506,68.820
2007,69.37,64.44,33.64,27.92,40.77,51.93,75.16,66.19,80.78,66.09,53.3,90.6,40.79,4.02,48.6,28.3,82.01,28.63,6.55,75.090
2008,72.87,66,39.67,34.66,42.31,62.97,78,70.58,83.67,70.68,61,91,44.53,11,53.13,32.42,90,34.37,11,78.390
2009,73.45,70,45,37.74,49.81,64.43,79,72.5,82.49,71.58,62,93,48.83,18.2,58.97,36.6,91,36.4,17.9,83.560
2010,75.17,75,46.23,42.75,52.99,68.82,82,74.1,86.89,77.28,65,93.39,53.68,31.6,62.32,39.93,90,39.82,23.3,85.000
2011,78.74,81.61,47.98,43.888,56.86,70.49,81.27,76.5,88.71,77.82,68.02,94.82,54.39,50.6,61.95,40.01,92.77,43.066,28.708,85.380
2012,80.03,80.72,51.9,45.065,60.69,73.43,82.35,78.39,89.88,81.44,70.58,96.21,55.83,61.907,62.31,45.88,93.18,45.13,35.27,87.480
2013,80.619,82.17,53.062,48.521,65.455,74.11,84.17,80.004,91.514,81.92,72.644,96.547,58.459,63.304,62.849,49.765,94.784,46.25,40.954,89.844
2014,80.996,85,55.49,49.918,69.33,74.232,86.19,84.242,86.53,83.75,75.653,98.16,55.638,66,66.6,54.08,92.52,51.04,46.236,91.610
2015,83.94,85.053,56.656,52.6,71.716,75.669,87.59,88.41,86.422,78.006,72.835,98.2,58.142,70.83,67.997,55.763,90.61,53.745,48.885,92.000
2016,84.324,86.516,59.826,60.257,75.9,76.481,84.165,87.24,87.704,79.27,79.259,98.24,61.324,74.588,73.301,59.504,89.651,58.348,53.001,94.776
2017,87.936,87.68,63.41,64.892,80.743,78.719,84.394,88.102,87.469,80.502,76.751,98.255,63.077,76.427,75.985,63.747,93.006,64.685,58.889,90.425
2018,87.479,88.647,64.782,70.12,84.434,80.688,87.037,89.357,88.89,82.043,76.074,99.011,74.387,78.904,77.542,70.681,89.247,71.043,62.553,90.692
2019,87.752,90.275,67.947,69.946,86.064,80.867,88.135,90.229,89.607,83.34,80.372,99,76.1,81.878,80.436,73.657,94.493,73.977,70.125,92.517
2020,87.529,91.526,70.16,73.21,90.802,81.339,89.813,89.058,92.17,84.8,84.771,99,70.483,85.943,83.185,78.455,94.539,77.67,75.038,94.818
