year,ALB,ARM,AUT,AZE,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GEO,GRC,HRV,HUN,IRL,ISL,ITA,KAZ,LTU,LUX,LVA,MKD,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,UKR,UZB
1990,0,0,0.130369377,0,0.00100674,0,0,0,0.595714223,0,0,0.125892223,0.097277268,0.012873564,0,0.40108767,0.052777862,0.087355319,0,0,0,0,0,0,0.017544562,0,0,0,0,0,0.334386942,0.707299448,0,0,0,0,0,0,0.584192066,0,0,0
1991,0,0,0.259081553,0,0.020072645,0,0,0,1.17995597,0,0,0.250274153,0.194056515,0.025686194,0,1.397439332,0.140113895,0.174230922,0,0.048788803,0,0.00338263,0.056796044,0.505129002,0.035063256,0,0,0,0,0,0.531496128,1.407395158,0.005229468,0.10023057,0,0,0,0,1.160519453,0,0,0
1992,0,0,0.642817619,0,0.100041027,0,0,0,1.751713322,0.05006043,0,0.43528529,0.386913951,0.076845453,0.065484797,1.88687977,0.279049463,0.260615159,0,0.048291602,0,0.048353421,0.169686377,1.53916008,0.070053433,0,0,0.153198791,0,0,1.320008028,2.216365832,0.052127181,0.250426501,0,0.000672532,0,0,1.497871352,0,0,0
1993,0,0,0.76534273,0,0.199446059,0.002339042,0,0,2.167270203,0.056367482,0.581319529,0.463635096,0.578329976,0.127689668,0.300711282,2.568461349,0.590619383,0.519762001,0,0.191062242,0.097213389,0.193414395,0.281141005,2.667825265,0.122462053,0,0,0.302155121,0,0,1.967087737,2.783990846,0.129961704,0.450161608,0.003703214,0.013447238,0.127829232,0.409792399,1.716364182,0.008457732,0.00077697,0
1994,0,0.009117014,1.393422968,0.001431415,0.69599469,0.019526669,0,0.000485951,2.720004329,0.111034621,1.259217838,0.922541043,1.34430775,0.280069738,1.159750913,4.915098554,0.899867425,1.036609166,0,0.378174312,0.268318997,0.483580975,0.558377222,6.794811784,0.192304619,0.000521079,0,0.496486119,0,0,3.257308831,4.152450292,0.389098144,0.718905754,0.026300162,0.053817493,0.318509704,1.071570172,3.412810096,0.049869182,0.013641246,0
1995,0.011168695,0.052743123,1.890210524,0.002055556,0.99166299,0.119665549,0,0.002921254,3.552007211,0.410120685,1.45357584,1.837737754,3.82565642,0.380800728,2.778968489,13.90030389,1.637947245,1.895168284,0.011836885,0.749616477,0.51402859,0.677486054,1.108386328,11.2158757,0.524412787,0.011302355,0,1.590941911,0,0.04074384,6.47315766,6.423220493,0.647752333,1.494334529,0.074952756,0.148151042,0.523210163,2.898985609,5.098024244,0.081691205,0.043083985,0.001527093
1996,0.032196828,0.094572902,6.909162353,0.006354585,2.968411647,0.725251167,0.015125563,0.029298294,4.549656748,0.673343541,1.940378193,3.054805234,5.714987841,1.331847404,3.525111129,16.78007526,2.584033979,4.123650336,0.040065419,1.395360779,0.858982368,0.969239536,2.199301832,14.80647932,1.023289903,0.031824512,0.277421291,5.551653306,0.812717072,0.075995734,9.649069145,18.25031077,1.295200255,2.98087767,0.221622649,0.26975293,0.783290109,5.072272271,9.04359976,0.192724936,0.098580381,0.004285074
1997,0.048593919,0.111650935,9.533974317,0.025187933,4.93808091,1.219813132,0.059425563,0.049020891,15.1,4.378272095,2.915698695,6.711087477,11.38200494,2.803319625,5.706276548,19.4586828,4.255003872,7.385398957,0.060930333,1.849634688,1.729609312,1.942449872,4.08825507,27.47886875,2.276737834,0.064596754,0.978422157,7.142704085,2.053454712,0.503985009,14.0655114,20.41788144,2.073465474,4.953001955,0.445444676,0.472963763,1.173381014,7.591923004,23.72794756,0.473695432,0.198821885,0.010536935
1998,0.06502737,0.128659478,15.42121932,0.037485109,7.886622701,1.844965121,0.14367106,0.073868897,24.8,8.890539159,3.895906065,9.877852428,22.66874615,4.361892394,10.79603483,25.45252493,6.319778722,13.6699831,0.102830957,3.221821786,3.273220279,3.894643278,8.096010043,36.2642065,4.558519565,0.131069604,1.972063745,11.74555372,3.315267886,1.002861666,22.24382769,22.56011255,4.102272002,9.870446442,2.237649473,0.812744451,2.689809786,10.10460285,33.46751233,0.698805129,0.301075792,0.020754437
1999,0.081437045,0.970737757,23.0443171,0.099228942,13.77221446,2.908154025,0.1943742,0.494881245,34,11.34239866,6.832802018,20.84598264,30.59204065,7.085039678,14.50089724,32.29509229,9.125317889,21.29363827,0.416343567,6.877292144,4.405359119,5.857840749,10.93380859,41.29456671,14.37841019,0.464277218,2.9230547,17.3879578,4.387409055,1.49733026,39.17600725,40,5.45644373,14.74233784,2.697580217,1.018984614,5.437758139,12.61093843,41.43278316,2.292117685,0.405385448,0.030688343
