Name,Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3M,Diversified,,,1579,,,,,,,,3586,3945,4656,5413,6177,7243,8199,8947,9104,9035
Absolut,Alcohol,,1378,,,,,,,,,,,,,,,,,,
Accenture,Business Services,,,5182,5301,5772,6142,6728,7296,7948,7710,7481,8005,8745,9471,9882,10800,12033,12471,14214,16205
adidas,Sporting Goods,3791,3650,3690,3679,3740,4033,4290,4767,5072,5397,5495,6154,6699,7535,7378,6811,7885,9216,10772,11992
Adobe,Business Services,,,,,,,,,,3161,3626,4170,4557,4899,5333,6257,7586,9060,10748,12937
AIG,Financial Services,,,,,,,,7490,7022,,,,,,,,,,,
Allianz,Financial Services,,,,,,,,3957,4033,3831,4904,5345,6184,6710,7702,8498,9528,10059,10821,12078
Amazon,Technology,4528,3130,3175,3403,4156,4248,4707,5411,6434,7858,9665,12758,18625,23620,29478,37948,50338,64796,100764,125263
American Express,Financial Services,16122,16919,16287,16833,17683,18559,19641,20827,21940,14971,13944,14572,15702,17646,19510,18922,18358,17787,19139,21629
AOL,Media,4531,4495,4326,3961,3248,,,,,,,,,,,,,,,
Apple,Technology,6594,5464,5316,5554,6871,7985,9130,11037,13724,15433,21143,33492,76568,98316,118863,170276,178119,184154,214480,234241
Armani,Luxury,1456,1490,1509,,2613,2677,2783,,3526,3303,3443,3794,,,,,,,,
AT&T,Telecommunications,25548,22828,16059,,,,,,,,,,,,,,,,,
Audi,Automotive,,,,,3288,3686,4165,4866,5407,5010,5461,6171,7196,7767,9831,10328,11799,12023,12187,12689
Avon,FMCG,,4369,4399,4631,4849,5213,5040,5103,5264,4917,5072,5376,5151,4610,,,,,,
AXA,Financial Services,,,,,,,,7327,7001,6525,6694,6694,6748,7096,8120,9254,10579,11073,11118,11830
Bacardi,Alcohol,3187,3204,3341,3431,,,,,,,,,,,,,,,,
Banco Santander,Financial Services,,,,,,,,,,,4846,5088,4771,4660,5382,6097,6223,6702,7547,8521
Barbie,Toys & Games,2315,2037,1937,1873,,,,,,,,,,,,,,,,
BARCLAYS,Financial Services,,,,,,,,,,,4218,4259,,,,,,,,
Benetton,Apparel,1008,1002,,,,,,,,,,,,,,,,,,
BlackBerry,Electronics,,,,,,,,,4802,5138,6762,6424,3922,,,,,,,
BMW,Automotive,12969,13858,14425,15106,15886,17126,19617,21612,23298,21671,22322,24554,29052,31839,34214,37212,41535,41521,41006,41440
Boeing,Diversified,,4060,2973,2864,2576,,,,,,,,,,,,,,,
BP,Energy,3066,3247,3390,3582,3662,3802,4010,3794,3911,3716,,,,,,,,,,
Budweiser,Alcohol,10684,10838,11349,11894,11846,11878,11662,11652,11438,11833,12252,12252,11872,12614,13024,13943,15099,15375,15627,16018
Bulgari,Luxury,,,,,,2715,2875,,,,,,,,,,,,,
Burberry,Luxury,,,,,,,2783,3221,,3095,3110,3732,4342,5189,5594,5873,5362,5135,4989,5205
Burger King,Restaurants,2701,2426,2163,2121,,,,,,3223,,,,,,,,,,
Campbell's,FMCG,,,,,,,,,,3081,3241,,,,,,,,,
Canon,Electronics,,6580,6721,7192,8055,9044,9968,10581,10876,10441,11485,11715,12029,10989,11702,11278,11081,9788,10380,9482
Carlsberg,Alcohol,,1075,,,,,,,,,,,,,,,,,,
Cartier,Luxury,,,,,2749,3050,3360,3852,4236,3968,4052,4781,5495,6897,7449,7924,7738,7547,7646,8192
Caterpillar,Diversified,,,3218,3363,3801,4085,4580,5059,5288,5004,4704,5598,6306,7125,6812,5976,5425,4868,5730,6791
Chanel,Luxury,4141,4265,4272,4315,4416,4778,5156,5830,6355,6040,,,,,,,,,20005,22134
Chevrolet,Automotive,,,,,,,,,,,,,,4578,5036,5133,,,,
Cisco,Business Services,20067,17209,16222,15789,15948,16592,17532,19099,21306,22030,23219,25309,27197,29053,30936,29854,30948,31930,34575,35559
Citi,Financial Services,18809,19005,18066,18571,19971,19967,21458,23442,20174,10254,8887,8620,7570,7973,8737,9784,10276,10599,11577,12697
Coca-Cola,Beverages,72537,68945,69637,70453,67394,67525,67000,65324,66667,68734,70452,71861,77839,79213,81563,78423,73102,69733,66341,63365
Colgate,FMCG,4417,4572,4602,4686,4929,5186,5633,6025,6437,6550,6919,7127,7643,7833,8215,8464,8413,8325,8659,8824
Compaq,Technology,14602,12354,9803,,,,,,,,,,,,,,,,,
Corona,Alcohol,,,,,,,,,,,3847,3924,4061,4276,4387,4456,4509,4776,5517,6369
Credit Suisse,Financial Services,,,,,,,,,,,4010,4090,3866,,,,,,,
Danone,FMCG,,,4054,4237,4488,4513,4638,5019,5408,5960,6363,6936,7498,7968,8205,8632,9197,9322,9533,9915
Dell,Electronics,9476,8269,9237,10367,11500,13231,12256,11554,11695,10291,8880,8347,7591,6845,,,,,,9086
DHL,Logistics,,,,,,,,,,,,,,,5084,5391,5708,5715,5881,5987
Dior,Luxury,,,,,,,,,,,,,,,,,4909,4587,5223,6045
Discovery,Media,,,,,,,,,,,,,,5756,6143,6509,5944,5411,5755,5525
Disney,Media,33553,32591,29256,28036,27113,26441,27848,29210,29251,28447,28731,29018,27438,28147,32223,36514,38790,40772,39874,44352
Duracell,FMCG,5885,4140,3409,3438,3362,3679,3576,3605,3682,3563,,,,4645,4935,,,,,
eBay,Retail,,,,,4700,5701,6755,7456,7991,7350,8453,9805,10947,13162,14358,13940,13136,13224,13017,12010
Ericsson,Electronics,7805,7069,3589,3153,,,,,,,,,,,,,,,,
Estee Lauder,FMCG,,,,,2634,,,,,,,,,,,,,,,
Facebook,Technology,,,,,,,,,,,,,5421,7732,14349,22029,32593,48188,45168,39857
FedEx,Logistics,,1885,1919,2032,,,,,3359,,,,,,4414,5130,5579,6255,6890,6998
Ferrari,Automotive,,,,,,,,,3527,3527,3562,3591,3770,4013,,,,4876,5760,6458
