Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2010","2010","1000 US$","50972","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2011","2011","1000 US$","62413","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2012","2012","1000 US$","64245","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2013","2013","1000 US$","57904","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2014","2014","1000 US$","66393","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2015","2015","1000 US$","71361","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2016","2016","1000 US$","85385","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2017","2017","1000 US$","86314","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2018","2018","1000 US$","79152","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2019","2019","1000 US$","81703","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.07","Abaca, manila hemp, raw","2020","2020","1000 US$","85538","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2010","2010","1000 US$","1659","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2011","2011","1000 US$","1866","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2012","2012","1000 US$","1884","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2013","2013","1000 US$","1905","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2014","2014","1000 US$","2024","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2015","2015","1000 US$","1838","E","Estimated value"
