Country,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Afghanistan,8622466,9565147,10752971,12157386,12486631,10512221,10694796,16418912,19542982,24411191,28189672,33753499,38972230
Albania,1608800,1864791,2135479,2404831,2671997,2964762,3286542,3187784,3089027,3011487,2913021,2880703,2837849
Algeria,11394307,12381256,13795915,15724692,18739378,22132905,25518074,28478022,30774621,32956690,35856344,39543154,43451666
Andorra,9443,13563,19860,27640,35611,43809,53569,62928,66097,79826,71519,71746,77700
Angola,5357195,5736582,6029700,7032713,8330047,9970621,11828638,13912253,16394062,19450959,23364185,28127721,33428486
Anguilla,42986,50759,58989,67121,76299,87966,98603,110328,111709,110940,107588,109462,112106
Antigua and Barbuda,55342,59644,64517,64035,64889,65048,63328,68398,75055,79869,85695,89941,92664
Argentina,20349744,22053661,23842803,25875558,28024803,30287112,32637657,34946110,37070774,39070501,40788453,43131966,45376763
Armenia,1904148,2234051,2534377,2830798,3135123,3300896,3556539,3322782,3168523,3047246,2946293,2878595,2805608
Aruba,54608,58782,59106,60715,62267,64478,65712,77050,89101,94483,100341,104257,106585
Australia,10276477,11388000,12507000,13893000,14692000,15788312,17065128,18004882,19028802,20176844,22031750,23815995,25655289
Austria,7047539,7270889,7467086,7578903,7549433,7564985,7677850,7948278,8011566,8227829,8363404,8642699,8916864
Azerbaijan,3894500,4574650,5172050,5689050,6160500,6670150,7175200,7684850,8048600,8391850,9054332,9649341,10093121
Bahamas,114500,144849,179129,201881,223752,245935,270679,299554,325014,347804,373272,392697,406471
Bangladesh,50396429,58500159,67541860,74700345,83929765,95959099,107147651,117793338,129193327,140912590,148391139,157830000,167420951
Barbados,232550,237694,241397,247090,253575,257911,258868,262303,264657,269477,274711,278083,280693
Belarus,8198000,8610000,9040000,9367000,9643000,9975000,10189348,10193831,9979610,9663915,9483836,9461076,9379952
Belgium,9153489,9463667,9655549,9800700,9859242,9858308,9967379,10136811,10251250,10478617,10895586,11274196,11538604
Belize,91403,104838,120905,130801,145133,163436,182589,203556,240406,280375,322106,359871,394921
Benin,2512284,2735843,3023443,3378703,3833939,4419552,5133419,6046511,6998023,8149419,9445710,10932783,12643123
Bermuda,44400,50100,55000,53000,54670,56898,59326,59746,61833,64154,65124,65237,63893
Bhutan,221266,255010,298894,352269,415257,484528,558442,527536,587207,663323,705516,743274,772506
Bolivia,3707515,4115511,4585693,5127776,5736088,6385630,7096194,7841471,8592656,9377388,10223270,11090085,11936162
Bosnia and Herz.,3262539,3565517,3815561,4022090,4199820,4383306,4494310,3750527,4179350,4094297,3811088,3524324,3318407
Botswana,512865,570975,592244,727930,938578,1138704,1341474,1543634,1726985,1892807,2091664,2305171,2546402
Brazil,73092515,84623747,96369875,108700515,122288383,136783180,150706446,163515328,175873720,186797334,196353492,205188205,213196304
British Virgin Is.,7850,8018,9581,10282,11109,13202,15617,17674,20104,23497,27556,29366,30910
Brunei,85346,107686,133343,159653,187921,222119,261928,299097,333926,366717,396053,421437,441725
Bulgaria,7867374,8204168,8489574,8720742,8861535,8960547,8718289,8406067,8170172,7658972,7395599,7177991,6934015
Burkina Faso,4783259,5157929,5611666,6138444,6932967,7979185,9131361,10353263,11882888,13876127,16116845,18718019,21522626
Burundi,2746628,3118134,3497834,3749232,4312834,4948024,5483793,5932783,6307659,7388874,9126605,10727148,12220227
Cambodia,5541676,6170727,6708525,6727922,6198959,7376090,8910808,10919528,12118841,13246583,14363532,15417523,16396860
Cameroon,5117608,5690086,6452787,7397417,8519891,9804254,11430520,13211647,15091594,17275171,19878036,23012646,26491087
